Diagnostics & Research,55.408661980650145
Household & Personal Products,46.9444472775048
Insurance - Reinsurance,46.000003814697266
Electronics & Computer Distribution,41.674124450996935
Medical Care Facilities,40.35761753513217
Drug Manufacturers - Specialty & Generic,29.835132499730584
Insurance - Life,25.528324172831823
Oil & Gas E&P,25.138790032247176
Apparel Retail,24.68289156296611
"Furnishings, Fixtures & Appliances",24.620584600731966
Gold,22.086429456675905
Consumer Electronics,20.29183425915063
Medical Instruments & Supplies,17.042190550801372
Software - Infrastructure,16.89380281747658
N/A,16.552423268897414
Oil & Gas Integrated,14.9349136765938
Capital Markets,12.48604079538886
Other Precious Metals & Mining,10.074974710201884
Medical Devices,9.8316666604344
Semiconductors,7.351427678465116
Chemicals,7.124996185302734
Drug Manufacturers - General,7.028051377538004
Building Materials,4.810649276108843
Auto & Truck Dealerships,4.3464300734465375
Airlines,3.4041519999070413
Real Estate Services,2.6484272726358205
Software - Application,1.8194997138123916
Insurance - Property & Casualty,0.6446851708526148
Specialty Industrial Machinery,-0.16397108709455455
Information Technology Services,-2.373804528679776
Oil & Gas Midstream,-3.201631278054965
Grocery Stores,-3.846099294935682
Packaged Foods,-5.376186010195131
Internet Content & Information,-6.343819580989638
Oil & Gas Equipment & Services,-7.409329937014281
Electronic Components,-7.901721446475139
Internet Retail,-7.9998342953855754
Electrical Equipment & Parts,-8.758602281696417
Healthcare Plans,-10.563947058091331
Computer Hardware,-10.732280839860067
Biotechnology,-10.744773853162652
Farm Products,-11.081320979599976
Footwear & Accessories,-11.339298950572452
Residential Construction,-11.634014466083094
Travel Services,-12.420383918042752
Utilities - Regulated Electric,-12.944059232015295
Credit Services,-13.356660406961005
Specialty Chemicals,-14.228393729153948
Entertainment,-14.535900493188244
Telecom Services,-15.767632966502882
Gambling,-16.601190496674775
Leisure,-19.19468955316244
Communication Equipment,-19.38006706961582
Other Industrial Metals & Mining,-20.862407667935493
Aerospace & Defense,-21.7731928764223
Auto Parts,-22.625882622785447
Education & Training Services,-23.555311957358246
Utilities - Independent Power Producers,-24.13260307335058
Engineering & Construction,-25.09855563478916
Banks - Regional,-25.492587178757383
Restaurants,-26.248187025038646
Rental & Leasing Services,-27.026062376767353
Luxury Goods,-27.384868137270125
Tobacco,-28.588302954219525
Railroads,-29.607843503911702
Metal Fabrication,-32.9131799918693
Utilities - Renewable,-33.807440224499516
Advertising Agencies,-34.86417189019326
Conglomerates,-36.3689667831365
Marine Shipping,-44.7941910844616
Insurance Brokers,-51.4563100124374
